;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_CHG_desc;We've had a good run, but it's time to end our rulership of Chagatai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHH_title;Grant Chahar Independence;;;;;;;;;;;;x,,
gtfo_CHH_desc;We've had a good run, but it's time to end our rulership of Chahar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHK_title;Grant Champasak Independence;;;;;;;;;;;;x,,
gtfo_CHK_desc;We've had a good run, but it's time to end our rulership of Champasak: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHM_title;Grant Chimu Independence;;;;;;;;;;;;x,,
gtfo_CHM_desc;We've had a good run, but it's time to end our rulership of Chimu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHN_title;Grant Chickasaw Independence;;;;;;;;;;;;x,,
gtfo_CHN_desc;We've had a good run, but it's time to end our rulership of Chickasaw: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHR_title;Grant Chernigov Independence;;;;;;;;;;;;x,,
gtfo_CHR_desc;We've had a good run, but it's time to end our rulership of Chernigov: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHT_title;Grant Chorti Independence;;;;;;;;;;;;x,,
gtfo_CHT_desc;We've had a good run, but it's time to end our rulership of Chorti: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHU_title;Grant Chukchi Independence;;;;;;;;;;;;x,,
gtfo_CHU_desc;We've had a good run, but it's time to end our rulership of Chukchi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHV_title;Grant Chavchuveny Independence;;;;;;;;;;;;x,,
gtfo_CHV_desc;We've had a good run, but it's time to end our rulership of Chavchuveny: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CIA_title;Grant Chiaha Independence;;;;;;;;;;;;x,,
gtfo_CIA_desc;We've had a good run, but it's time to end our rulership of Chiaha: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CIR_title;Grant Circassia Independence;;;;;;;;;;;;x,,
gtfo_CIR_desc;We've had a good run, but it's time to end our rulership of Circassia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CJA_title;Grant Cajamarca Independence;;;;;;;;;;;;x,,
gtfo_CJA_desc;We've had a good run, but it's time to end our rulership of Cajamarca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CKW_title;Grant Chokwe Independence;;;;;;;;;;;;x,,
gtfo_CKW_desc;We've had a good run, but it's time to end our rulership of Chokwe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CLB_title;Grant Calenberg Independence;;;;;;;;;;;;x,,
gtfo_CLB_desc;We've had a good run, but it's time to end our rulership of Calenberg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CLG_title;Grant Chalaghawtha Independence;;;;;;;;;;;;x,,
gtfo_CLG_desc;We've had a good run, but it's time to end our rulership of Chalaghawtha: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CMA_title;Grant Colima Independence;;;;;;;;;;;;x,,
gtfo_CMA_desc;We've had a good run, but it's time to end our rulership of Colima: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CMI_title;Grant Miao Independence;;;;;;;;;;;;x,,
gtfo_CMI_desc;We've had a good run, but it's time to end our rulership of Miao: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CMP_title;Grant Rewa Kantha Independence;;;;;;;;;;;;x,,
gtfo_CMP_desc;We've had a good run, but it's time to end our rulership of Rewa Kantha: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CND_title;Grant Candar Independence;;;;;;;;;;;;x,,
gtfo_CND_desc;We've had a good run, but it's time to end our rulership of Candar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CNK_title;Grant Chinook Independence;;;;;;;;;;;;x,,
gtfo_CNK_desc;We've had a good run, but it's time to end our rulership of Chinook: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CNN_title;Grant Clanricarde Independence;;;;;;;;;;;;x,,
gtfo_CNN_desc;We've had a good run, but it's time to end our rulership of Clanricarde: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CNP_title;Grant Can Pech Independence;;;;;;;;;;;;x,,
gtfo_CNP_desc;We've had a good run, but it's time to end our rulership of Can Pech: if you love something, let it go!;;;;;;;;;;;;x
gtfo_COB_title;Grant Coburg Independence;;;;;;;;;;;;x,,
gtfo_COB_desc;We've had a good run, but it's time to end our rulership of Coburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_COC_title;Grant Cocomes Independence;;;;;;;;;;;;x,,
gtfo_COC_desc;We've had a good run, but it's time to end our rulership of Cocomes: if you love something, let it go!;;;;;;;;;;;;x
gtfo_COF_title;Grant Cofitachequi Independence;;;;;;;;;;;;x,,
gtfo_COF_desc;We've had a good run, but it's time to end our rulership of Cofitachequi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_COM_title;Grant Comanche Independence;;;;;;;;;;;;x,,
gtfo_COM_desc;We've had a good run, but it's time to end our rulership of Comanche: if you love something, let it go!;;;;;;;;;;;;x
gtfo_COO_title;Grant Coosa Independence;;;;;;;;;;;;x,,
gtfo_COO_desc;We've had a good run, but it's time to end our rulership of Coosa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_COW_title;Grant Coweta Independence;;;;;;;;;;;;x,,
gtfo_COW_desc;We've had a good run, but it's time to end our rulership of Coweta: if you love something, let it go!;;;;;;;;;;;;x
gtfo_COY_title;Grant Colla Independence;;;;;;;;;;;;x,,
gtfo_COY_desc;We've had a good run, but it's time to end our rulership of Colla: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CPG_title;Grant Champagne Independence;;;;;;;;;;;;x,,
gtfo_CPG_desc;We've had a good run, but it's time to end our rulership of Champagne: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CRA_title;Grant Charca Independence;;;;;;;;;;;;x,,
gtfo_CRA_desc;We've had a good run, but it's time to end our rulership of Charca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CRE_title;Grant Crete Independence;;;;;;;;;;;;x,,
gtfo_CRE_desc;We've had a good run, but it's time to end our rulership of Crete: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CRI_title;Grant Crimea Independence;;;;;;;;;;;;x,,
gtfo_CRI_desc;We've had a good run, but it's time to end our rulership of Crimea: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CRO_title;Grant Croatia Independence;;;;;;;;;;;;x,,
gtfo_CRO_desc;We've had a good run, but it's time to end our rulership of Croatia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CRS_title;Grant Corsica Independence;;;;;;;;;;;;x,,
gtfo_CRS_desc;We've had a good run, but it's time to end our rulership of Corsica: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CSH_title;Grant Shun Independence;;;;;;;;;;;;x,,
gtfo_CSH_desc;We've had a good run, but it's time to end our rulership of Shun: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CST_title;Grant Castile Independence;;;;;;;;;;;;x,,
gtfo_CST_desc;We've had a good run, but it's time to end our rulership of Castile: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CSU_title;Grant Cusco Independence;;;;;;;;;;;;x,,
gtfo_CSU_desc;We've had a good run, but it's time to end our rulership of Cusco: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CUA_title;Grant Charrua Independence;;;;;;;;;;;;x,,
gtfo_CUA_desc;We've had a good run, but it's time to end our rulership of Charrua: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CWU_title;Grant Wu Independence;;;;;;;;;;;;x,,
gtfo_CWU_desc;We've had a good run, but it's time to end our rulership of Wu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CXI_title;Grant Xi Independence;;;;;;;;;;;;x,,
gtfo_CXI_desc;We've had a good run, but it's time to end our rulership of Xi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CYA_title;Grant Chachapoya Independence;;;;;;;;;;;;x,,
gtfo_CYA_desc;We've had a good run, but it's time to end our rulership of Chachapoya: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CYG_title;Grant Cayuga Independence;;;;;;;;;;;;x,,
gtfo_CYG_desc;We've had a good run, but it's time to end our rulership of Cayuga: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CYI_title;Grant Yi Independence;;;;;;;;;;;;x,,
gtfo_CYI_desc;We've had a good run, but it's time to end our rulership of Yi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CYN_title;Grant Cheyenne Independence;;;;;;;;;;;;x,,
gtfo_CYN_desc;We've had a good run, but it's time to end our rulership of Cheyenne: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DAH_title;Grant Dahomey Independence;;;;;;;;;;;;x,,
gtfo_DAH_desc;We've had a good run, but it's time to end our rulership of Dahomey: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DAI_title;Grant Dai Viet Independence;;;;;;;;;;;;x,,
gtfo_DAI_desc;We've had a good run, but it's time to end our rulership of Dai Viet: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DAK_title;Grant Lakota Independence;;;;;;;;;;;;x,,
gtfo_DAK_desc;We've had a good run, but it's time to end our rulership of Lakota: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DAR_title;Grant Darfur Independence;;;;;;;;;;;;x,,
gtfo_DAR_desc;We've had a good run, but it's time to end our rulership of Darfur: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DAU_title;Grant Dauphine Independence;;;;;;;;;;;;x,,
gtfo_DAU_desc;We've had a good run, but it's time to end our rulership of Dauphine: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DAW_title;Grant Dawasir Independence;;;;;;;;;;;;x,,
gtfo_DAW_desc;We've had a good run, but it's time to end our rulership of Dawasir: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DEN_title;Grant Denmark Independence;;;;;;;;;;;;x,,
gtfo_DEN_desc;We've had a good run, but it's time to end our rulership of Denmark: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DGB_title;Grant Dagbon Independence;;;;;;;;;;;;x,,
gtfo_DGB_desc;We've had a good run, but it's time to end our rulership of Dagbon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DJA_title;Grant Jambi Independence;;;;;;;;;;;;x,,
gtfo_DJA_desc;We've had a good run, but it's time to end our rulership of Jambi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DLH_title;Grant Delhi Independence;;;;;;;;;;;;x,,
gtfo_DLH_desc;We've had a good run, but it's time to end our rulership of Delhi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DLI_title;Grant Deli Independence;;;;;;;;;;;;x,,
gtfo_DLI_desc;We've had a good run, but it's time to end our rulership of Deli: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DLM_title;Grant Dalmatia Independence;;;;;;;;;;;;x,,
gtfo_DLM_desc;We've had a good run, but it's time to end our rulership of Dalmatia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DMK_title;Grant Demak Independence;;;;;;;;;;;;x,,
gtfo_DMK_desc;We've had a good run, but it's time to end our rulership of Demak: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DMS_title;Grant Desmond Independence;;;;;;;;;;;;x,,
gtfo_DMS_desc;We've had a good run, but it's time to end our rulership of Desmond: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DNG_title;Grant Dang Independence;;;;;;;;;;;;x,,
gtfo_DNG_desc;We've had a good run, but it's time to end our rulership of Dang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DTI_title;Grant Doti Independence;;;;;;;;;;;;x,,
gtfo_DTI_desc;We've had a good run, but it's time to end our rulership of Doti: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DTT_title;Grant Dithmarschen Independence;;;;;;;;;;;;x,,
gtfo_DTT_desc;We've had a good run, but it's time to end our rulership of Dithmarschen: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DUL_title;Grant Dulkadir Independence;;;;;;;;;;;;x,,
gtfo_DUL_desc;We've had a good run, but it's time to end our rulership of Dulkadir: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DWT_title;Grant Donauwörth Independence;;;;;;;;;;;;x,,
gtfo_DWT_desc;We've had a good run, but it's time to end our rulership of Donauwörth: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DZG_title;Grant Danzig Independence;;;;;;;;;;;;x,,
gtfo_DZG_desc;We've had a good run, but it's time to end our rulership of Danzig: if you love something, let it go!;;;;;;;;;;;;x
gtfo_EFR_title;Grant East Frisia Independence;;;;;;;;;;;;x,,
gtfo_EFR_desc;We've had a good run, but it's time to end our rulership of East Frisia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_EGY_title;Grant Mamluks Independence;;;;;;;;;;;;x,,
gtfo_EGY_desc;We've had a good run, but it's time to end our rulership of Mamluks: if you love something, let it go!;;;;;;;;;;;;x
gtfo_EJZ_title;Grant Nanai Independence;;;;;;;;;;;;x,,
gtfo_EJZ_desc;We've had a good run, but it's time to end our rulership of Nanai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ENA_title;Grant Ennarea Independence;;;;;;;;;;;;x,,
gtfo_ENA_desc;We've had a good run, but it's time to end our rulership of Ennarea: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ENL_title;Grant England Independence;;;;;;;;;;;;x,,
gtfo_ENL_desc;We've had a good run, but it's time to end our rulership of England: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ERE_title;Grant Eretna Independence;;;;;;;;;;;;x,,
gtfo_ERE_desc;We've had a good run, but it's time to end our rulership of Eretna: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ERY_title;Grant Erie Independence;;;;;;;;;;;;x,,
gtfo_ERY_desc;We've had a good run, but it's time to end our rulership of Erie: if you love something, let it go!;;;;;;;;;;;;x
gtfo_EST_title;Grant Estonia Independence;;;;;;;;;;;;x,,
gtfo_EST_desc;We've had a good run, but it's time to end our rulership of Estonia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ETH_title;Grant Ethiopia Independence;;;;;;;;;;;;x,,
gtfo_ETH_desc;We've had a good run, but it's time to end our rulership of Ethiopia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ETO_title;Grant Etowah Independence;;;;;;;;;;;;x,,
gtfo_ETO_desc;We've had a good run, but it's time to end our rulership of Etowah: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FDL_title;Grant Fadl Independence;;;;;;;;;;;;x,,
gtfo_FDL_desc;We've had a good run, but it's time to end our rulership of Fadl: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FEO_title;Grant Theodoro Independence;;;;;;;;;;;;x,,
gtfo_FEO_desc;We've had a good run, but it's time to end our rulership of Theodoro: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FER_title;Grant Ferrara Independence;;;;;;;;;;;;x,,
gtfo_FER_desc;We've had a good run, but it's time to end our rulership of Ferrara: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FEZ_title;Grant Fez Independence;;;;;;;;;;;;x,,
gtfo_FEZ_desc;We've had a good run, but it's time to end our rulership of Fez: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FIN_title;Grant Finland Independence;;;;;;;;;;;;x,,
gtfo_FIN_desc;We've had a good run, but it's time to end our rulership of Finland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FJL_title;Grant Lau Independence;;;;;;;;;;;;x,,
gtfo_FJL_desc;We've had a good run, but it's time to end our rulership of Lau: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FJV_title;Grant Viti Levu Independence;;;;;;;;;;;;x,,
gtfo_FJV_desc;We've had a good run, but it's time to end our rulership of Viti Levu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FJW_title;Grant Vanua Levu Independence;;;;;;;;;;;;x,,
gtfo_FJW_desc;We've had a good run, but it's time to end our rulership of Vanua Levu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FLA_title;Grant Flanders Independence;;;;;;;;;;;;x,,
gtfo_FLA_desc;We've had a good run, but it's time to end our rulership of Flanders: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FLO_title;Grant Florence Independence;;;;;;;;;;;;x,,
gtfo_FLO_desc;We've had a good run, but it's time to end our rulership of Florence: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FLY_title;Grant Offaly Independence;;;;;;;;;;;;x,,
gtfo_FLY_desc;We've had a good run, but it's time to end our rulership of Offaly: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FOI_title;Grant Foix Independence;;;;;;;;;;;;x,,
gtfo_FOI_desc;We've had a good run, but it's time to end our rulership of Foix: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FOX_title;Grant Fox Independence;;;;;;;;;;;;x,,
gtfo_FOX_desc;We've had a good run, but it's time to end our rulership of Fox: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FRA_title;Grant France Independence;;;;;;;;;;;;x,,
gtfo_FRA_desc;We've had a good run, but it's time to end our rulership of France: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FRI_title;Grant Friesland Independence;;;;;;;;;;;;x,,
gtfo_FRI_desc;We've had a good run, but it's time to end our rulership of Friesland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FRM_title;Grant Frankfurt Independence;;;;;;;;;;;;x,,
gtfo_FRM_desc;We've had a good run, but it's time to end our rulership of Frankfurt: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FUL_title;Grant Fulo Independence;;;;;;;;;;;;x,,
gtfo_FUL_desc;We've had a good run, but it's time to end our rulership of Fulo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FZA_title;Grant Fezzan Independence;;;;;;;;;;;;x,,
gtfo_FZA_desc;We've had a good run, but it's time to end our rulership of Fezzan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GAM_title;Grant Guamar Independence;;;;;;;;;;;;x,,
gtfo_GAM_desc;We've had a good run, but it's time to end our rulership of Guamar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GBU_title;Grant Kaabu Independence;;;;;;;;;;;;x,,
gtfo_GBU_desc;We've had a good run, but it's time to end our rulership of Kaabu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GDW_title;Grant Garha Independence;;;;;;;;;;;;x,,
gtfo_GDW_desc;We've had a good run, but it's time to end our rulership of Garha: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GEE_title;Grant Gingee Independence;;;;;;;;;;;;x,,
gtfo_GEE_desc;We've had a good run, but it's time to end our rulership of Gingee: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GEL_title;Grant Geledi Independence;;;;;;;;;;;;x,,
gtfo_GEL_desc;We've had a good run, but it's time to end our rulership of Geledi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GEN_title;Grant Genoa Independence;;;;;;;;;;;;x,,
gtfo_GEN_desc;We've had a good run, but it's time to end our rulership of Genoa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GEO_title;Grant Georgia Independence;;;;;;;;;;;;x,,
gtfo_GEO_desc;We've had a good run, but it's time to end our rulership of Georgia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GHD_title;Grant Djerid Independence;;;;;;;;;;;;x,,
gtfo_GHD_desc;We've had a good run, but it's time to end our rulership of Djerid: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GHR_title;Grant Garhwal Independence;;;;;;;;;;;;x,,
gtfo_GHR_desc;We've had a good run, but it's time to end our rulership of Garhwal: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GLR_title;Grant Gelre Independence;;;;;;;;;;;;x,,
gtfo_GLR_desc;We've had a good run, but it's time to end our rulership of Gelre: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GNV_title;Grant Geneva Independence;;;;;;;;;;;;x,,
gtfo_GNV_desc;We've had a good run, but it's time to end our rulership of Geneva: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GOC_title;Grant Golkonda Independence;;;;;;;;;;;;x,,
gtfo_GOC_desc;We've had a good run, but it's time to end our rulership of Golkonda: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GOS_title;Grant Goslar Independence;;;;;;;;;;;;x,,
gtfo_GOS_desc;We've had a good run, but it's time to end our rulership of Goslar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GOT_title;Grant Gotland Independence;;;;;;;;;;;;x,,
gtfo_GOT_desc;We've had a good run, but it's time to end our rulership of Gotland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRA_title;Grant Granada Independence;;;;;;;;;;;;x,,
gtfo_GRA_desc;We've had a good run, but it's time to end our rulership of Granada: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRH_title;Grant Great Horde Independence;;;;;;;;;;;;x,,
gtfo_GRH_desc;We've had a good run, but it's time to end our rulership of Great Horde: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRI_title;Grant Guarani Independence;;;;;;;;;;;;x,,
gtfo_GRI_desc;We've had a good run, but it's time to end our rulership of Guarani: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRJ_title;Grant Garjat Independence;;;;;;;;;;;;x,,
gtfo_GRJ_desc;We've had a good run, but it's time to end our rulership of Garjat: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRK_title;Grant Gorkha Independence;;;;;;;;;;;;x,,
gtfo_GRK_desc;We've had a good run, but it's time to end our rulership of Gorkha: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRM_title;Grant Germiyan Independence;;;;;;;;;;;;x,,
gtfo_GRM_desc;We've had a good run, but it's time to end our rulership of Germiyan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GUG_title;Grant Guge Independence;;;;;;;;;;;;x,,
gtfo_GUG_desc;We've had a good run, but it's time to end our rulership of Guge: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GUJ_title;Grant Gujarat Independence;;;;;;;;;;;;x,,
gtfo_GUJ_desc;We've had a good run, but it's time to end our rulership of Gujarat: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GWA_title;Grant Gwalior Independence;;;;;;;;;;;;x,,
gtfo_GWA_desc;We've had a good run, but it's time to end our rulership of Gwalior: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GYN_title;Grant Gascony Independence;;;;;;;;;;;;x,,
gtfo_GYN_desc;We've had a good run, but it's time to end our rulership of Gascony: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GZK_title;Grant Gazikumukh Independence;;;;;;;;;;;;x,,
gtfo_GZK_desc;We've had a good run, but it's time to end our rulership of Gazikumukh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAD_title;Grant Hadoti Independence;;;;;;;;;;;;x,,
gtfo_HAD_desc;We've had a good run, but it's time to end our rulership of Hadoti: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAL_title;Grant Shammar Independence;;;;;;;;;;;;x,,
gtfo_HAL_desc;We've had a good run, but it's time to end our rulership of Shammar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAM_title;Grant Hamburg Independence;;;;;;;;;;;;x,,
gtfo_HAM_desc;We've had a good run, but it's time to end our rulership of Hamburg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAR_title;Grant Harar Independence;;;;;;;;;;;;x,,
gtfo_HAR_desc;We've had a good run, but it's time to end our rulership of Harar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAT_title;Grant Hainaut Independence;;;;;;;;;;;;x,,
gtfo_HAT_desc;We've had a good run, but it's time to end our rulership of Hainaut: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAU_title;Grant Hausa Independence;;;;;;;;;;;;x,,
gtfo_HAU_desc;We've had a good run, but it's time to end our rulership of Hausa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HBY_title;Grant Hobyo Independence;;;;;;;;;;;;x,,
gtfo_HBY_desc;We've had a good run, but it's time to end our rulership of Hobyo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HDA_title;Grant Haida Independence;;;;;;;;;;;;x,,
gtfo_HDA_desc;We've had a good run, but it's time to end our rulership of Haida: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HDJ_title;Grant Hejaz Independence;;;;;;;;;;;;x,,
gtfo_HDJ_desc;We've had a good run, but it's time to end our rulership of Hejaz: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HDR_title;Grant Hadramut Independence;;;;;;;;;;;;x,,
gtfo_HDR_desc;We've had a good run, but it's time to end our rulership of Hadramut: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HDY_title;Grant Hadiya Independence;;;;;;;;;;;;x,,
gtfo_HDY_desc;We've had a good run, but it's time to end our rulership of Hadiya: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HES_title;Grant Hesse Independence;;;;;;;;;;;;x,,
gtfo_HES_desc;We've had a good run, but it's time to end our rulership of Hesse: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HJA_title;Grant Huyla Independence;;;;;;;;;;;;x,,
gtfo_HJA_desc;We've had a good run, but it's time to end our rulership of Huyla: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HLL_title;Grant Holland Independence;;;;;;;;;;;;x,,
gtfo_HLL_desc;We've had a good run, but it's time to end our rulership of Holland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HMI_title;Grant Kara Del Independence;;;;;;;;;;;;x,,
gtfo_HMI_desc;We've had a good run, but it's time to end our rulership of Kara Del: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HNI_title;Grant Hasinai Independence;;;;;;;;;;;;x,,
gtfo_HNI_desc;We've had a good run, but it's time to end our rulership of Hasinai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HOD_title;Grant Khodynt Independence;;;;;;;;;;;;x,,
gtfo_HOD_desc;We've had a good run, but it's time to end our rulership of Khodynt: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HOL_title;Grant Holstein Independence;;;;;;;;;;;;x,,
gtfo_HOL_desc;We've had a good run, but it's time to end our rulership of Holstein: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HRZ_title;Grant Herzegovina Independence;;;;;;;;;;;;x,,
gtfo_HRZ_desc;We've had a good run, but it's time to end our rulership of Herzegovina: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HSC_title;Grant Gaeldom Independence;;;;;;;;;;;;x,,
gtfo_HSC_desc;We've had a good run, but it's time to end our rulership of Gaeldom: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HSE_title;Grant Hsenwi Independence;;;;;;;;;;;;x,,
gtfo_HSE_desc;We've had a good run, but it's time to end our rulership of Hsenwi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HSI_title;Grant Hsipaw Independence;;;;;;;;;;;;x,,
gtfo_HSI_desc;We've had a good run, but it's time to end our rulership of Hsipaw: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HST_title;Grant Huastec Independence;;;;;;;;;;;;x,,
gtfo_HST_desc;We've had a good run, but it's time to end our rulership of Huastec: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HUA_title;Grant Huai Independence;;;;;;;;;;;;x,,
gtfo_HUA_desc;We've had a good run, but it's time to end our rulership of Huai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HUN_title;Grant Hungary Independence;;;;;;;;;;;;x,,
gtfo_HUN_desc;We've had a good run, but it's time to end our rulership of Hungary: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HWH_title;Grant Hawai'i Independence;;;;;;;;;;;;x,,
gtfo_HWH_desc;We've had a good run, but it's time to end our rulership of Hawai'i: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HWK_title;Grant Hathawekela Independence;;;;;;;;;;;;x,,
gtfo_HWK_desc;We've had a good run, but it's time to end our rulership of Hathawekela: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HWM_title;Grant Maui Independence;;;;;;;;;;;;x,,
gtfo_HWM_desc;We've had a good run, but it's time to end our rulership of Maui: if you love something, let it go!;;;;;;;;;;;;x
